county_name,median_household_income,housing_units,state_fips,county_fips
"Pike County, Georgia",83866,7132,13,231
"Polk County, Georgia",51956,17235,13,233
"Pulaski County, Georgia",42545,4078,13,235
"Putnam County, Georgia",60825,13171,13,237
"Quitman County, Georgia",38889,1715,13,239
"Rabun County, Georgia",57261,12078,13,241
"Randolph County, Georgia",24638,3493,13,243
"Richmond County, Georgia",50605,92108,13,245
"Rockdale County, Georgia",68999,35398,13,247
"Schley County, Georgia",53274,1950,13,249
"Screven County, Georgia",49941,6528,13,251
"Seminole County, Georgia",46063,5046,13,253
"Spalding County, Georgia",57367,27957,13,255
"Stephens County, Georgia",52901,12342,13,257
"Stewart County, Georgia",43094,2115,13,259
"Sumter County, Georgia",38899,13493,13,261
"Talbot County, Georgia",48065,3066,13,263
"Taliaferro County, Georgia",45881,1013,13,265
"Tattnall County, Georgia",51868,9366,13,267
"Taylor County, Georgia",40727,3946,13,269
"Telfair County, Georgia",41801,4836,13,271
"Terrell County, Georgia",43507,4245,13,273
"Thomas County, Georgia",55958,20796,13,275
"Tift County, Georgia",52561,17392,13,277
"Toombs County, Georgia",47310,12062,13,279
"Towns County, Georgia",55574,8618,13,281
"Treutlen County, Georgia",38641,2858,13,283
"Troup County, Georgia",53599,28939,13,285
"Turner County, Georgia",39666,3916,13,287
"Twiggs County, Georgia",50446,4047,13,289
"Union County, Georgia",59783,14755,13,291
"Upson County, Georgia",48740,12331,13,293
"Walker County, Georgia",52276,29339,13,295
"Walton County, Georgia",79425,35783,13,297
"Ware County, Georgia",44138,15921,13,299
"Warren County, Georgia",45091,2558,13,301
"Washington County, Georgia",43810,8651,13,303
"Wayne County, Georgia",49847,12487,13,305
"Webster County, Georgia",35000,1207,13,307
"Wheeler County, Georgia",36354,2434,13,309
"White County, Georgia",66256,13798,13,311
"Whitfield County, Georgia",59659,39213,13,313
"Wilcox County, Georgia",46759,3453,13,315
"Wilkes County, Georgia",51780,5182,13,317
"Wilkinson County, Georgia",40757,4307,13,319
"Worth County, Georgia",56496,9258,13,321
"Hawaii County, Hawaii",74238,88965,15,001
"Honolulu County, Hawaii",99816,369775,15,003
"Kalawao County, Hawaii",87813,96,15,005
"Kauai County, Hawaii",88869,30236,15,007
"Maui County, Hawaii",95379,71801,15,009
"Ada County, Idaho",83881,198516,16,001
"Adams County, Idaho",55891,2648,16,003
"Bannock County, Idaho",60998,35186,16,005
"Bear Lake County, Idaho",63244,3895,16,007
"Benewah County, Idaho",54191,4666,16,009
"Bingham County, Idaho",69433,17028,16,011
"Blaine County, Idaho",81794,15562,16,013
"Boise County, Idaho",70776,5497,16,015
"Bonner County, Idaho",61816,26374,16,017
"Bonneville County, Idaho",73103,45510,16,019
"Boundary County, Idaho",58810,5456,16,021
"Butte County, Idaho",37358,1285,16,023
"Camas County, Idaho",63750,678,16,025
"Canyon County, Idaho",68473,82374,16,027
"Caribou County, Idaho",65380,3130,16,029
"Cassia County, Idaho",63525,8904,16,031
"Clark County, Idaho",53500,449,16,033
"Clearwater County, Idaho",55885,4573,16,035
"Custer County, Idaho",60357,3130,16,037
"Elmore County, Idaho",55000,12119,16,039
"Franklin County, Idaho",61679,5027,16,041
"Fremont County, Idaho",67015,8564,16,043
"Gem County, Idaho",65204,7640,16,045
"Gooding County, Idaho",60938,6077,16,047
"Idaho County, Idaho",54745,8880,16,049
"Jefferson County, Idaho",77491,10241,16,051
"Jerome County, Idaho",67347,8624,16,053
"Kootenai County, Idaho",71949,75686,16,055
"Latah County, Idaho",62258,17301,16,057
"Lemhi County, Idaho",49216,4609,16,059
"Lewis County, Idaho",46484,1811,16,061
"Lincoln County, Idaho",62250,1952,16,063
"Madison County, Idaho",53025,14328,16,065
"Minidoka County, Idaho",63594,8330,16,067
"Nez Perce County, Idaho",65023,18382,16,069
"Oneida County, Idaho",67383,2032,16,071
