county_name,median_household_income,housing_units,state_fips,county_fips
"Ontario County, New York",76603,52636,36,069
"Orange County, New York",91806,147158,36,071
"Orleans County, New York",61069,18244,36,073
"Oswego County, New York",65054,54570,36,075
"Otsego County, New York",65778,29965,36,077
"Putnam County, New York",120970,38323,36,079
"Queens County, New York",82431,896825,36,081
"Rensselaer County, New York",83734,74186,36,083
"Richmond County, New York",96185,183524,36,085
"Rockland County, New York",106173,108165,36,087
"St. Lawrence County, New York",58339,51780,36,089
"Saratoga County, New York",97038,110095,36,091
"Schenectady County, New York",75056,70843,36,093
"Schoharie County, New York",71479,16517,36,095
"Schuyler County, New York",61316,9671,36,097
"Seneca County, New York",64050,16116,36,099
"Steuben County, New York",62506,47507,36,101
"Suffolk County, New York",122498,578977,36,103
"Sullivan County, New York",67841,49390,36,105
"Tioga County, New York",70427,21909,36,107
"Tompkins County, New York",69995,46728,36,109
"Ulster County, New York",77197,85916,36,111
"Warren County, New York",74531,40039,36,113
"Washington County, New York",68703,29063,36,115
"Wayne County, New York",71007,42274,36,117
"Westchester County, New York",114651,389146,36,119
"Wyoming County, New York",65066,18137,36,121
"Yates County, New York",63974,13113,36,123
"Alamance County, North Carolina",60866,74055,37,001
"Alexander County, North Carolina",62764,16035,37,003
"Alleghany County, North Carolina",42115,7726,37,005
"Anson County, North Carolina",42000,9963,37,007
"Ashe County, North Carolina",49176,17026,37,009
"Avery County, North Carolina",53513,13915,37,011
"Beaufort County, North Carolina",56081,24299,37,013
"Bertie County, North Carolina",41652,9008,37,015
"Bladen County, North Carolina",40476,15348,37,017
"Brunswick County, North Carolina",71193,90454,37,019
"Buncombe County, North Carolina",66531,130081,37,021
"Burke County, North Carolina",53732,39773,37,023
"Cabarrus County, North Carolina",83828,88031,37,025
"Caldwell County, North Carolina",52362,37125,37,027
"Camden County, North Carolina",79120,4170,37,029
"Carteret County, North Carolina",66965,51096,37,031
"Caswell County, North Carolina",56999,10493,37,033
"Catawba County, North Carolina",62070,71047,37,035
"Chatham County, North Carolina",84222,34190,37,037
"Cherokee County, North Carolina",49254,18006,37,039
"Chowan County, North Carolina",51188,7162,37,041
"Clay County, North Carolina",57065,7320,37,043
"Cleveland County, North Carolina",50723,43782,37,045
"Columbus County, North Carolina",43206,23641,37,047
"Craven County, North Carolina",61676,47051,37,049
"Cumberland County, North Carolina",55551,142702,37,051
"Currituck County, North Carolina",82793,16219,37,053
"Dare County, North Carolina",79742,34493,37,055
"Davidson County, North Carolina",58473,74958,37,057
"Davie County, North Carolina",69105,18845,37,059
"Duplin County, North Carolina",49376,23865,37,061
"Durham County, North Carolina",74927,145518,37,063
"Edgecombe County, North Carolina",46370,23229,37,065
"Forsyth County, North Carolina",61229,171040,37,067
"Franklin County, North Carolina",70493,29764,37,069
"Gaston County, North Carolina",62628,98616,37,071
"Gates County, North Carolina",55750,4819,37,073
"Graham County, North Carolina",46010,5272,37,075
"Granville County, North Carolina",68079,24344,37,077
"Greene County, North Carolina",50320,7889,37,079
"Guilford County, North Carolina",62880,233332,37,081
"Halifax County, North Carolina",41629,24847,37,083
"Harnett County, North Carolina",64992,53252,37,085
"Haywood County, North Carolina",56596,35051,37,087
"Henderson County, North Carolina",65508,56744,37,089
"Hertford County, North Carolina",46196,9864,37,091
"Hoke County, North Carolina",57141,20322,37,093
"Hyde County, North Carolina",43724,2939,37,095
"Iredell County, North Carolina",73103,79853,37,097
"Jackson County, North Carolina",51482,26967,37,099
"Johnston County, North Carolina",75288,85278,37,101
"Jones County, North Carolina",53053,4669,37,103
"Lee County, North Carolina",60941,26560,37,105
"Lenoir County, North Carolina",43063,26681,37,107
"Lincoln County, North Carolina",75672,37715,37,109
"McDowell County, North Carolina",53532,21328,37,111
"Macon County, North Carolina",51042,26929,37,113
"Madison County, North Carolina",56664,11092,37,115
"Martin County, North Carolina",44799,11108,37,117
"Mecklenburg County, North Carolina",79265,481307,37,119
"Mitchell County, North Carolina",55534,8665,37,121
"Montgomery County, North Carolina",55523,14926,37,123
"Moore County, North Carolina",77981,48595,37,125
"Nash County, North Carolina",56770,43320,37,127
"New Hanover County, North Carolina",67515,114625,37,129
"Northampton County, North Carolina",45698,10652,37,131
"Onslow County, North Carolina",59976,84531,37,133
"Orange County, North Carolina",85785,61213,37,135
"Pamlico County, North Carolina",55867,7206,37,137
"Pasquotank County, North Carolina",61411,17445,37,139
"Pender County, North Carolina",74538,30283,37,141
"Perquimans County, North Carolina",59401,6906,37,143
"Person County, North Carolina",60688,18372,37,145
"Pitt County, North Carolina",54915,80763,37,147
"Polk County, North Carolina",60465,10881,37,149
"Randolph County, North Carolina",56423,62249,37,151
"Richmond County, North Carolina",42354,19768,37,153
"Robeson County, North Carolina",39393,48811,37,155
"Rockingham County, North Carolina",50737,43586,37,157
"Rowan County, North Carolina",59717,63508,37,159
"Rutherford County, North Carolina",50512,32640,37,161
"Sampson County, North Carolina",49963,25685,37,163
"Scotland County, North Carolina",41948,14422,37,165
"Stanly County, North Carolina",60634,27802,37,167
"Stokes County, North Carolina",57539,21285,37,169
"Surry County, North Carolina",52743,33549,37,171
"Swain County, North Carolina",52818,8451,37,173
"Transylvania County, North Carolina",62056,19072,37,175
"Tyrrell County, North Carolina",55341,1845,37,177
"Union County, North Carolina",95533,84798,37,179
"Vance County, North Carolina",48340,19392,37,181
"Wake County, North Carolina",96734,466760,37,183
"Warren County, North Carolina",42282,11438,37,185
"Washington County, North Carolina",38927,6061,37,187
"Watauga County, North Carolina",50034,32783,37,189
"Wayne County, North Carolina",54323,52882,37,191
"Wilkes County, North Carolina",49119,31743,37,193
"Wilson County, North Carolina",49827,36429,37,195
"Yadkin County, North Carolina",57486,17065,37,197
"Yancey County, North Carolina",53103,11266,37,199
"Adams County, North Dakota",57950,1337,38,001
"Barnes County, North Dakota",64447,5693,38,003
"Benson County, North Dakota",63220,2574,38,005
"Billings County, North Dakota",74000,493,38,007
"Bottineau County, North Dakota",80113,3976,38,009
"Bowman County, North Dakota",79709,1645,38,011
"Burke County, North Dakota",94583,1413,38,013
"Burleigh County, North Dakota",82141,42968,38,015
"Cass County, North Dakota",73249,85944,38,017
"Cavalier County, North Dakota",61174,2114,38,019
"Dickey County, North Dakota",60250,2398,38,021
"Divide County, North Dakota",95938,1375,38,023
"Dunn County, North Dakota",91758,2178,38,025
"Eddy County, North Dakota",50375,1274,38,027
"Emmons County, North Dakota",63750,2046,38,029
"Foster County, North Dakota",78426,1773,38,031
"Golden Valley County, North Dakota",84750,930,38,033
"Grand Forks County, North Dakota",64698,33567,38,035
"Grant County, North Dakota",57069,1675,38,037
"Griggs County, North Dakota",66688,1377,38,039
"Hettinger County, North Dakota",66797,1423,38,041
"Kidder County, North Dakota",57240,1648,38,043
"LaMoure County, North Dakota",70227,2077,38,045
"Logan County, North Dakota",59750,1078,38,047
"McHenry County, North Dakota",78071,2837,38,049
"McIntosh County, North Dakota",64375,1701,38,051
"McKenzie County, North Dakota",83813,7639,38,053
"McLean County, North Dakota",80556,5759,38,055
"Mercer County, North Dakota",82155,4667,38,057
"Morton County, North Dakota",79555,15184,38,059
"Mountrail County, North Dakota",81886,5045,38,061
"Nelson County, North Dakota",62219,1803,38,063
"Oliver County, North Dakota",69722,908,38,065
"Pembina County, North Dakota",64243,3526,38,067
"Pierce County, North Dakota",59583,2033,38,069
"Ramsey County, North Dakota",61490,5857,38,071
"Ransom County, North Dakota",71462,2552,38,073
"Renville County, North Dakota",77067,1253,38,075
"Richland County, North Dakota",67089,7537,38,077
"Rolette County, North Dakota",53806,4650,38,079
"Sargent County, North Dakota",75648,2006,38,081
"Sheridan County, North Dakota",68684,817,38,083
"Sioux County, North Dakota",41201,1275,38,085
"Slope County, North Dakota",70625,464,38,087
"Stark County, North Dakota",78734,15366,38,089
"Steele County, North Dakota",85750,1114,38,091
"Stutsman County, North Dakota",59167,10389,38,093
"Towner County, North Dakota",61250,1319,38,095
"Traill County, North Dakota",81157,3674,38,097
"Walsh County, North Dakota",68082,5219,38,099
"Ward County, North Dakota",78143,32297,38,101
"Wells County, North Dakota",59732,2324,38,103
"Williams County, North Dakota",86139,20185,38,105
"Adams County, Ohio",46234,12716,39,001
"Allen County, Ohio",58976,44692,39,003
"Ashland County, Ohio",62254,22491,39,005
"Ashtabula County, Ohio",53663,46291,39,007
"Athens County, Ohio",48750,26420,39,009
"Auglaize County, Ohio",75231,19961,39,011
"Belmont County, Ohio",56943,31636,39,013
"Brown County, Ohio",66677,19374,39,015
"Butler County, Ohio",77062,154056,39,017
"Carroll County, Ohio",59872,13407,39,019
"Champaign County, Ohio",70486,16870,39,021
"Clark County, Ohio",58954,61040,39,023
"Clermont County, Ohio",79573,86713,39,025
"Clinton County, Ohio",64210,17938,39,027
"Columbiana County, Ohio",55473,46164,39,029
"Coshocton County, Ohio",52048,16337,39,031
"Crawford County, Ohio",52486,19868,39,033
"Cuyahoga County, Ohio",60074,615881,39,035
"Darke County, Ohio",60237,22619,39,037
"Defiance County, Ohio",69302,16563,39,039
"Delaware County, Ohio",123995,82131,39,041
"Erie County, Ohio",65171,38298,39,043
"Fairfield County, Ohio",82969,62743,39,045
"Fayette County, Ohio",56773,12685,39,047
"Franklin County, Ohio",71070,582701,39,049
"Fulton County, Ohio",71453,17701,39,051
"Gallia County, Ohio",55533,13462,39,053
"Geauga County, Ohio",97162,37465,39,055
"Greene County, Ohio",81243,71471,39,057
"Guernsey County, Ohio",53901,19051,39,059
"Hamilton County, Ohio",68249,379583,39,061
"Hancock County, Ohio",67006,33733,39,063
"Hardin County, Ohio",55876,12920,39,065
"Harrison County, Ohio",54056,7403,39,067
"Henry County, Ohio",71616,12045,39,069
"Highland County, Ohio",60522,19010,39,071
"Hocking County, Ohio",59007,13020,39,073
"Holmes County, Ohio",72987,14527,39,075
"Huron County, Ohio",64144,25519,39,077
"Jackson County, Ohio",56549,14453,39,079
"Jefferson County, Ohio",53124,31246,39,081
"Knox County, Ohio",71246,25865,39,083
"Lake County, Ohio",76835,105399,39,085
"Lawrence County, Ohio",51846,26579,39,087
"Licking County, Ohio",78505,72722,39,089
"Logan County, Ohio",69125,23711,39,091
"Lorain County, Ohio",67272,134591,39,093
"Lucas County, Ohio",57265,200495,39,095
"Madison County, Ohio",77062,16255,39,097
"Mahoning County, Ohio",54279,108203,39,099
"Marion County, Ohio",55106,27405,39,101
"Medina County, Ohio",89968,75138,39,103
"Meigs County, Ohio",46255,10679,39,105
"Mercer County, Ohio",73278,17898,39,107
"Miami County, Ohio",71440,46770,39,109
"Monroe County, Ohio",55381,7160,39,111
"Montgomery County, Ohio",61942,252061,39,113
"Morgan County, Ohio",51056,7295,39,115
"Morrow County, Ohio",70412,14507,39,117
"Muskingum County, Ohio",56810,38348,39,119
"Noble County, Ohio",51547,5787,39,121
"Ottawa County, Ohio",69515,28626,39,123
"Paulding County, Ohio",65331,8524,39,125
"Perry County, Ohio",62899,15003,39,127
"Pickaway County, Ohio",67600,22384,39,129
"Pike County, Ohio",50832,12047,39,131
"Portage County, Ohio",69796,70692,39,133
"Preble County, Ohio",66355,18088,39,135
"Putnam County, Ohio",79453,13846,39,137
"Richland County, Ohio",56557,54581,39,139
"Ross County, Ohio",58048,32051,39,141
"Sandusky County, Ohio",60814,26500,39,143
"Scioto County, Ohio",46360,33209,39,145
"Seneca County, Ohio",62476,23960,39,147
"Shelby County, Ohio",73502,20102,39,149
"Stark County, Ohio",63130,167068,39,151
"Summit County, Ohio",68360,246641,39,153
"Trumbull County, Ohio",53537,94575,39,155
"Tuscarawas County, Ohio",61953,40785,39,157
"Union County, Ohio",104496,23441,39,159
"Van Wert County, Ohio",64841,12560,39,161
"Vinton County, Ohio",50967,5952,39,163
"Warren County, Ohio",103128,93520,39,165
"Washington County, Ohio",59053,27997,39,167
"Wayne County, Ohio",70320,46649,39,169
"Williams County, Ohio",60632,16566,39,171
"Wood County, Ohio",70537,56919,39,173
"Wyandot County, Ohio",68552,9851,39,175
"Adair County, Oklahoma",44955,8141,40,001
"Alfalfa County, Oklahoma",75028,2505,40,003
"Atoka County, Oklahoma",49181,6012,40,005
"Beaver County, Oklahoma",62981,2480,40,007
"Beckham County, Oklahoma",51499,10125,40,009
"Blaine County, Oklahoma",56843,4559,40,011
"Bryan County, Oklahoma",54289,20396,40,013
"Caddo County, Oklahoma",52443,11658,40,015
"Canadian County, Oklahoma",82364,59808,40,017
"Carter County, Oklahoma",56390,21609,40,019
"Cherokee County, Oklahoma",52410,22138,40,021
"Choctaw County, Oklahoma",43252,7105,40,023
"Cimarron County, Oklahoma",57100,1378,40,025
"Cleveland County, Oklahoma",71757,121845,40,027
"Coal County, Oklahoma",47117,2581,40,029
"Comanche County, Oklahoma",57150,52585,40,031
"Cotton County, Oklahoma",60208,2712,40,033
"Craig County, Oklahoma",48018,6378,40,035
"Creek County, Oklahoma",61657,31114,40,037
"Custer County, Oklahoma",58669,12907,40,039
"Delaware County, Oklahoma",53290,24232,40,041
"Dewey County, Oklahoma",61310,2195,40,043
"Ellis County, Oklahoma",57768,2143,40,045
"Garfield County, Oklahoma",64165,27755,40,047
"Garvin County, Oklahoma",53600,12109,40,049
"Grady County, Oklahoma",74349,23142,40,051
"Grant County, Oklahoma",58980,2185,40,053
"Greer County, Oklahoma",55204,2628,40,055
"Harmon County, Oklahoma",55729,1359,40,057
"Harper County, Oklahoma",59934,1720,40,059
"Haskell County, Oklahoma",46239,5677,40,061
"Hughes County, Oklahoma",44799,5818,40,063
"Jackson County, Oklahoma",60954,12041,40,065
"Jefferson County, Oklahoma",48346,2764,40,067
"Johnston County, Oklahoma",48476,4721,40,069
"Kay County, Oklahoma",53746,20990,40,071
"Kingfisher County, Oklahoma",65167,6402,40,073
"Kiowa County, Oklahoma",42679,4700,40,075
"Latimer County, Oklahoma",42735,4700,40,077
"Le Flore County, Oklahoma",46750,21149,40,079
"Lincoln County, Oklahoma",57656,14539,40,081
"Logan County, Oklahoma",80565,19246,40,083
"Love County, Oklahoma",60758,4706,40,085
"McClain County, Oklahoma",80150,16633,40,087
"McCurtain County, Oklahoma",47046,14025,40,089
"McIntosh County, Oklahoma",43467,11893,40,091
"Major County, Oklahoma",67621,3703,40,093
"Marshall County, Oklahoma",53734,8823,40,095
"Mayes County, Oklahoma",56552,18358,40,097
"Murray County, Oklahoma",60213,6546,40,099
"Muskogee County, Oklahoma",50289,29435,40,101
"Noble County, Oklahoma",66813,5089,40,103
"Nowata County, Oklahoma",50960,4390,40,105
"Okfuskee County, Oklahoma",45429,4824,40,107
"Oklahoma County, Oklahoma",62505,353429,40,109
"Okmulgee County, Oklahoma",50819,16749,40,111
"Osage County, Oklahoma",58189,19775,40,113
"Ottawa County, Oklahoma",46186,13699,40,115
"Pawnee County, Oklahoma",56279,7337,40,117
"Payne County, Oklahoma",46658,36748,40,119
"Pittsburg County, Oklahoma",53054,22160,40,121
"Pontotoc County, Oklahoma",59457,17424,40,123
"Pottawatomie County, Oklahoma",58270,30051,40,125
"Pushmataha County, Oklahoma",42274,5705,40,127
"Roger Mills County, Oklahoma",57574,1844,40,129
"Rogers County, Oklahoma",75312,38112,40,131
"Seminole County, Oklahoma",43239,10789,40,133
"Sequoyah County, Oklahoma",47494,18183,40,135
"Stephens County, Oklahoma",57065,20347,40,137
"Texas County, Oklahoma",55682,8448,40,139
"Tillman County, Oklahoma",46306,3789,40,141
"Tulsa County, Oklahoma",65229,292863,40,143
"Wagoner County, Oklahoma",75082,32942,40,145
"Washington County, Oklahoma",59426,23738,40,147
"Washita County, Oklahoma",60600,5165,40,149
"Woods County, Oklahoma",50724,4457,40,151
"Woodward County, Oklahoma",61207,9372,40,153
"Baker County, Oregon",51657,8671,41,001
"Benton County, Oregon",72882,40092,41,003
"Clackamas County, Oregon",95740,170723,41,005
"Clatsop County, Oregon",68025,23060,41,007
"Columbia County, Oregon",83265,21773,41,009
"Coos County, Oregon",57563,31476,41,011
"Crook County, Oregon",74969,11236,41,013
"Curry County, Oregon",64300,13055,41,015
"Deschutes County, Oregon",82042,94911,41,017
"Douglas County, Oregon",56440,49926,41,019
"Gilliam County, Oregon",58409,1081,41,021
"Grant County, Oregon",56045,4128,41,023
"Harney County, Oregon",45462,3705,41,025
"Hood River County, Oregon",80254,10131,41,027
"Jackson County, Oregon",67690,96286,41,029
"Jefferson County, Oregon",69345,10301,41,031
"Josephine County, Oregon",56068,38939,41,033
"Klamath County, Oregon",57219,32864,41,035
"Lake County, Oregon",54663,4226,41,037
"Lane County, Oregon",65157,166750,41,039
"Lincoln County, Oregon",57794,32094,41,041
"Linn County, Oregon",69523,52145,41,043
"Malheur County, Oregon",48371,11669,41,045
"Marion County, Oregon",70926,129065,41,047
"Morrow County, Oregon",64975,4724,41,049
"Multnomah County, Oregon",83668,363661,41,051
"Polk County, Oregon",77353,33916,41,053
"Sherman County, Oregon",57171,953,41,055
"Tillamook County, Oregon",63098,18974,41,057
"Umatilla County, Oregon",70322,31264,41,059
"Union County, Oregon",61946,11694,41,061
"Wallowa County, Oregon",62238,4313,41,063
"Wasco County, Oregon",61316,12038,41,065
"Washington County, Oregon",100121,237586,41,067
"Wheeler County, Oregon",50774,930,41,069
"Yamhill County, Oregon",80125,40239,41,071
"Adams County, Pennsylvania",78975,43118,42,001
"Allegheny County, Pennsylvania",72537,602734,42,003
"Armstrong County, Pennsylvania",61011,32172,42,005
"Beaver County, Pennsylvania",67194,79104,42,007
"Bedford County, Pennsylvania",58337,23547,42,009
"Berks County, Pennsylvania",74617,170678,42,011
"Blair County, Pennsylvania",59386,55808,42,013
"Bradford County, Pennsylvania",60650,29443,42,015
"Bucks County, Pennsylvania",107826,255599,42,017
"Butler County, Pennsylvania",82932,85479,42,019
"Cambria County, Pennsylvania",54221,64522,42,021
"Cameron County, Pennsylvania",46186,3956,42,023
"Carbon County, Pennsylvania",64538,34247,42,025
"Centre County, Pennsylvania",70087,65712,42,027
"Chester County, Pennsylvania",118574,208672,42,029
"Clarion County, Pennsylvania",58690,18897,42,031
"Clearfield County, Pennsylvania",56982,38157,42,033
"Clinton County, Pennsylvania",59011,18623,42,035
"Columbia County, Pennsylvania",59457,29695,42,037
"Crawford County, Pennsylvania",58734,42234,42,039
"Cumberland County, Pennsylvania",82849,109154,42,041
"Dauphin County, Pennsylvania",71046,126567,42,043
"Delaware County, Pennsylvania",86390,229039,42,045
"Elk County, Pennsylvania",61672,16898,42,047
"Erie County, Pennsylvania",59396,119910,42,049
"Fayette County, Pennsylvania",55579,62005,42,051
"Forest County, Pennsylvania",46188,7045,42,053
"Franklin County, Pennsylvania",71808,66443,42,055
"Fulton County, Pennsylvania",63153,7119,42,057
"Greene County, Pennsylvania",66283,16185,42,059
"Huntingdon County, Pennsylvania",61300,20957,42,061
"Indiana County, Pennsylvania",57170,37678,42,063
"Jefferson County, Pennsylvania",56607,22065,42,065
"Juniata County, Pennsylvania",61915,10502,42,067
"Lackawanna County, Pennsylvania",63739,99900,42,069
"Lancaster County, Pennsylvania",81458,216592,42,071
"Lawrence County, Pennsylvania",57585,39647,42,073
"Lebanon County, Pennsylvania",72532,59213,42,075
"Lehigh County, Pennsylvania",74973,149876,42,077
"Luzerne County, Pennsylvania",60836,150885,42,079
"Lycoming County, Pennsylvania",63437,52671,42,081
"McKean County, Pennsylvania",57861,19530,42,083
"Mercer County, Pennsylvania",57353,50916,42,085
"Mifflin County, Pennsylvania",58012,21391,42,087
"Monroe County, Pennsylvania",80656,79377,42,089
"Montgomery County, Pennsylvania",107441,346692,42,091
"Montour County, Pennsylvania",72626,8096,42,093
"Northampton County, Pennsylvania",82201,127724,42,095
"Northumberland County, Pennsylvania",55952,43417,42,097
"Perry County, Pennsylvania",76103,19943,42,099
"Philadelphia County, Pennsylvania",57537,730630,42,101
"Pike County, Pennsylvania",76416,39747,42,103
"Potter County, Pennsylvania",56491,12395,42,105
"Schuylkill County, Pennsylvania",63574,67328,42,107
"Snyder County, Pennsylvania",65914,16003,42,109
"Somerset County, Pennsylvania",57357,37796,42,111
"Sullivan County, Pennsylvania",62910,5619,42,113
"Susquehanna County, Pennsylvania",63968,21365,42,115
"Tioga County, Pennsylvania",59707,21545,42,117
"Union County, Pennsylvania",64914,16185,42,119
"Venango County, Pennsylvania",59278,26276,42,121
"Warren County, Pennsylvania",57925,21694,42,123
"Washington County, Pennsylvania",74403,97031,42,125
"Wayne County, Pennsylvania",59240,31981,42,127
"Westmoreland County, Pennsylvania",69454,168183,42,129
"Wyoming County, Pennsylvania",67968,12846,42,131
"York County, Pennsylvania",79183,187450,42,133
"Bristol County, Rhode Island",105875,21475,44,001
"Kent County, Rhode Island",85732,76104,44,003
"Newport County, Rhode Island",96319,43415,44,005
"Providence County, Rhode Island",72579,276370,44,007
"Washington County, Rhode Island",99510,65689,44,009
"Abbeville County, South Carolina",49759,11658,45,001
"Aiken County, South Carolina",63212,77577,45,003
"Allendale County, South Carolina",37096,4065,45,005
"Anderson County, South Carolina",62347,89805,45,007
"Bamberg County, South Carolina",43920,6644,45,009
"Barnwell County, South Carolina",42470,9914,45,011
"Beaufort County, South Carolina",81260,99281,45,013
"Berkeley County, South Carolina",77874,94468,45,015
"Calhoun County, South Carolina",55550,7059,45,017
"Charleston County, South Carolina",78795,202600,45,019
"Cherokee County, South Carolina",47011,24775,45,021
"Chester County, South Carolina",50022,14651,45,023
"Chesterfield County, South Carolina",46326,20583,45,025
"Clarendon County, South Carolina",48677,15983,45,027
"Colleton County, South Carolina",46795,19904,45,029
"Darlington County, South Carolina",44317,29556,45,031
"Dillon County, South Carolina",42454,12869,45,033
"Dorchester County, South Carolina",73686,65088,45,035
"Edgefield County, South Carolina",60033,11130,45,037
"Fairfield County, South Carolina",44521,10943,45,039
"Florence County, South Carolina",56088,60896,45,041
"Georgetown County, South Carolina",59782,36219,45,043
"Greenville County, South Carolina",71328,228097,45,045
"Greenwood County, South Carolina",47553,31404,45,047
"Hampton County, South Carolina",40157,8641,45,049
"Horry County, South Carolina",59880,206764,45,051
"Jasper County, South Carolina",60452,13160,45,053
"Kershaw County, South Carolina",61343,29223,45,055
"Lancaster County, South Carolina",72186,41410,45,057
"Laurens County, South Carolina",52077,31421,45,059
"Lee County, South Carolina",39099,7577,45,061
"Lexington County, South Carolina",71280,128830,45,063
"McCormick County, South Carolina",55569,5461,45,065
"Marion County, South Carolina",35972,14340,45,067
"Marlboro County, South Carolina",34275,12034,45,069
"Newberry County, South Carolina",56706,18313,45,071
"Oconee County, South Carolina",56710,41023,45,073
"Orangeburg County, South Carolina",41020,41365,45,075
"Pickens County, South Carolina",57628,56713,45,077
"Richland County, South Carolina",59850,182711,45,079
"Saluda County, South Carolina",51041,9350,45,081
"Spartanburg County, South Carolina",61955,138058,45,083
"Sumter County, South Carolina",53970,47015,45,085
"Union County, South Carolina",42305,13508,45,087
"Williamsburg County, South Carolina",40848,14801,45,089
"York County, South Carolina",80158,115366,45,091
"Aurora County, South Dakota",71490,1216,46,003
"Beadle County, South Dakota",63813,8436,46,005
"Bennett County, South Dakota",44821,1241,46,007
"Bon Homme County, South Dakota",57554,2817,46,009
"Brookings County, South Dakota",64438,14882,46,011
"Brown County, South Dakota",70379,17948,46,013
"Brule County, South Dakota",64821,2365,46,015
"Buffalo County, South Dakota",42917,588,46,017
"Butte County, South Dakota",58106,4725,46,019
"Campbell County, South Dakota",66932,926,46,021
"Charles Mix County, South Dakota",60729,3668,46,023
"Clark County, South Dakota",59340,1619,46,025
"Clay County, South Dakota",55963,6152,46,027
"Codington County, South Dakota",65747,13257,46,029
"Corson County, South Dakota",48125,1369,46,031
"Custer County, South Dakota",75943,4979,46,033
"Davison County, South Dakota",55606,9506,46,035
"Day County, South Dakota",57558,3428,46,037
"Deuel County, South Dakota",76997,2136,46,039
"Dewey County, South Dakota",55077,1934,46,041
"Douglas County, South Dakota",75048,1347,46,043
"Edmunds County, South Dakota",76806,1948,46,045
"Fall River County, South Dakota",54886,4094,46,047
"Faulk County, South Dakota",56734,1046,46,049
"Grant County, South Dakota",70851,3444,46,051
"Gregory County, South Dakota",48272,2211,46,053
"Haakon County, South Dakota",53109,914,46,055
"Hamlin County, South Dakota",76995,2788,46,057
"Hand County, South Dakota",72857,1705,46,059
"Hanson County, South Dakota",86827,1280,46,061
"Harding County, South Dakota",71484,711,46,063
"Hughes County, South Dakota",83750,7953,46,065
"Hutchinson County, South Dakota",69139,3220,46,067
"Hyde County, South Dakota",69712,641,46,069
"Jackson County, South Dakota",26078,1017,46,071
"Jerauld County, South Dakota",66607,1016,46,073
"Jones County, South Dakota",61250,510,46,075
"Kingsbury County, South Dakota",65964,2636,46,077
"Lake County, South Dakota",74884,5714,46,079
"Lawrence County, South Dakota",62977,14289,46,081
"Lincoln County, South Dakota",92317,26398,46,083
"Lyman County, South Dakota",60284,1560,46,085
"McCook County, South Dakota",74873,2465,46,087
"McPherson County, South Dakota",58529,1255,46,089
"Marshall County, South Dakota",74018,2412,46,091
"Meade County, South Dakota",70256,12429,46,093
"Mellette County, South Dakota",41397,766,46,095
"Miner County, South Dakota",62037,1214,46,097
"Minnehaha County, South Dakota",73110,84770,46,099
"Moody County, South Dakota",71469,2739,46,101
"Oglala Lakota County, South Dakota",32279,3473,46,102
"Pennington County, South Dakota",67823,49747,46,103
"Perkins County, South Dakota",64410,1725,46,105
"Potter County, South Dakota",71786,1583,46,107
"Roberts County, South Dakota",59022,4818,46,109
"Sanborn County, South Dakota",65806,1134,46,111
"Spink County, South Dakota",65795,3007,46,115
"Stanley County, South Dakota",82298,1468,46,117
"Sully County, South Dakota",66875,889,46,119
"Todd County, South Dakota",33792,2888,46,121
"Tripp County, South Dakota",56758,2794,46,123
"Turner County, South Dakota",72312,3876,46,125
"Union County, South Dakota",82036,7298,46,127
"Walworth County, South Dakota",57697,2939,46,129
"Yankton County, South Dakota",68847,10405,46,135
"Ziebach County, South Dakota",46023,895,46,137
"Anderson County, Tennessee",60633,35326,47,001
"Bedford County, Tennessee",59955,19813,47,003
"Benton County, Tennessee",47737,8537,47,005
"Bledsoe County, Tennessee",51783,5860,47,007
"Blount County, Tennessee",70935,60058,47,009
"Bradley County, Tennessee",60692,44924,47,011
"Campbell County, Tennessee",48258,20155,47,013
"Cannon County, Tennessee",57651,6338,47,015
"Carroll County, Tennessee",49700,13117,47,017
"Carter County, Tennessee",47994,27881,47,019
"Cheatham County, Tennessee",77014,16864,47,021
"Chester County, Tennessee",57471,7224,47,023
"Claiborne County, Tennessee",42406,15358,47,025
"Clay County, Tennessee",39572,3981,47,027
"Cocke County, Tennessee",45110,17833,47,029
"Coffee County, Tennessee",57424,24958,47,031
"Crockett County, Tennessee",59136,6109,47,033
"Cumberland County, Tennessee",56002,30555,47,035
"Davidson County, Tennessee",71863,333753,47,037
"Decatur County, Tennessee",48466,6584,47,039
"DeKalb County, Tennessee",46907,9903,47,041
"Dickson County, Tennessee",68492,22742,47,043
"Dyer County, Tennessee",53150,16278,47,045
"Fayette County, Tennessee",81074,17772,47,047
"Fentress County, Tennessee",47884,9206,47,049
"Franklin County, Tennessee",57933,19565,47,051
"Gibson County, Tennessee",55455,22403,47,053
"Giles County, Tennessee",56877,13990,47,055
"Grainger County, Tennessee",47098,11650,47,057
"Greene County, Tennessee",51975,32300,47,059
"Grundy County, Tennessee",47948,6216,47,061
"Hamblen County, Tennessee",49656,27565,47,063
"Hamilton County, Tennessee",69069,163534,47,065
"Hancock County, Tennessee",31809,3666,47,067
"Hardeman County, Tennessee",43566,10699,47,069
"Hardin County, Tennessee",46902,15017,47,071
"Hawkins County, Tennessee",53647,27138,47,073
"Haywood County, Tennessee",44890,8274,47,075
"Henderson County, Tennessee",51576,12901,47,077
"Henry County, Tennessee",48025,16976,47,079
"Hickman County, Tennessee",54669,10503,47,081
