,geo_id,county_name,military_count,total_military_area_m,pct_military
373,41039,Lane County,1,90852.03584231473,7.4279504482568396e-06
374,41047,Marion County,1,321232.83196435653,0.00010413309129418879
375,41049,Morrow County,2,233922626.1648601,0.04410788853491555
376,41051,Multnomah County,1,897125.7500870483,0.0007448942564099559
377,41053,Polk County,1,43832.44278569736,2.274274326503852e-05
378,41059,Umatilla County,1,38792888.610379376,0.0046349772038880716
379,42003,Allegheny County,2,1272372.891170948,0.0006600759489461663
380,42013,Blair County,1,90575.91449121256,6.64430549872497e-05
381,42029,Chester County,1,213504.4388260398,0.00010858082748046633
382,42039,Crawford County,1,429166.0227653618,0.00015969692571230466
383,42041,Cumberland County,2,4866152.882561908,0.0034137454101255396
384,42043,Dauphin County,1,24406630.412117165,0.01688508470237734
385,42055,Franklin County,1,72569779.60870695,0.036253221331332235
386,42069,Lackawanna County,1,59657.87186024342,4.95325439169999e-05
387,42073,Lawrence County,1,23868.276375385904,2.54726626421198e-05
388,42075,Lebanon County,1,48378663.831311695,0.0515285518159827
389,42089,Monroe County,1,5684757.876557417,0.003556726739308176
390,42091,Montgomery County,1,209296.98298645706,0.00016587175265433537
391,42101,Philadelphia County,2,1614649.3937741076,0.004377282421391312
392,42133,York County,1,3393955.4750671946,0.0014388694235295913
393,44003,Kent County,1,1523435.971910145,0.0031264405764604916
394,44005,Newport County,3,3046588.7776717395,0.0037505738019711007
395,44009,Washington County,1,427265.9380439938,0.0002931302008104009
396,45013,Beaufort County,4,72578702.50090754,0.03034309713136487
397,45015,Berkeley County,1,68359457.40699668,0.021379998743588775
398,45019,Charleston County,1,14031857.371248271,0.003963415102251242
399,45035,Dorchester County,1,211.79305237384654,1.4320916283021739e-07
400,45065,McCormick County,1,3505897.035439491,0.003438845047512303
401,45075,Orangeburg County,1,9084999.505977701,0.0031100155497695526
402,45079,Richland County,2,217699055.69780627,0.10888320160538736
403,45085,Sumter County,2,64426008.52459125,0.036469098032545444
404,46035,Davison County,1,245530.9248860672,0.00021695961874582023
405,46093,Meade County,2,16047855.730860632,0.001779058492317151
406,46099,Minnehaha County,2,911762.2830088779,0.0004325473272251361
407,46103,Pennington County,4,8608953.158405146,0.0011937454755018865
408,47009,Blount County,1,1480621.3903692183,0.0010088665920084088
409,47017,Carroll County,2,49387428.590689905,0.03177604228418744
410,47031,Coffee County,1,96384477.4213836,0.08563779741300384
411,47037,Davidson County,2,622403.9110505166,0.0004574973848505802
412,47051,Franklin County,1,61004522.243295535,0.0409100294257671
413,47053,Gibson County,2,51151151.2503534,0.03271688858284597
414,47073,Hawkins County,1,23764655.7686309,0.018365125062919714
415,47113,Madison County,1,260005.4182767305,0.00017970676323853638
416,47125,Montgomery County,1,172130438.76175123,0.12220741613428585
417,47149,Rutherford County,1,3454114.264194448,0.002137050864316094
418,47157,Shelby County,4,6463433.3312043855,0.0031930057231938785
419,47161,Stewart County,1,101137243.52490495,0.07920546138692078
420,47163,Sullivan County,1,1106085.5488568728,0.000993846211966645
421,47179,Washington County,1,434227.39329128555,0.0005083193555378673
422,48021,Bastrop County,1,47439499.548500404,0.020452380634851938
423,48027,Bell County,1,273829287.4302172,0.09697212152754202
424,48029,Bexar County,2,178413620.98308653,0.054842244025847184
425,48037,Bowie County,1,60376808.256762795,0.02525837565669572
426,48049,Brown County,1,20581321.946543206,0.008303956050703968
427,48091,Comal County,1,5340820.182569745,0.0035869990731848627
428,48099,Coryell County,1,613743892.2071602,0.22422806213849433
429,48113,Dallas County,1,301945.0251722161,0.0001283029768076196
430,48141,El Paso County,1,499014963.5909085,0.18977072627012376
431,48175,Goliad County,1,4599295.759766207,0.0020664038291921343
432,48187,Guadalupe County,1,3838356.55899113,0.00207333781117491
433,48201,Harris County,1,846594.5777122154,0.0001839419685479283
434,48229,Hudspeth County,1,23971.359938260408,2.024659346147388e-06
435,48249,Jim Wells County,1,13685993.789199581,0.006083965222621525
436,48271,Kinney County,1,1625637.431679115,0.00045978453535657204
437,48273,Kleberg County,1,13545386.392463252,0.0047971916321135465
438,48277,Lamar County,1,26730103.367366903,0.011060463463995925
439,48311,McMullen County,2,42962024.782123245,0.014339545920957587
440,48355,Nueces County,3,18586509.80082797,0.006156883403376773
441,48363,Palo Pinto County,1,679840.7027950081,0.00026634776445151685
442,48367,Parker County,1,15864172.044925742,0.006730279455623737
