geo_id,location_factor,est_capex_per_kw,est_total_capex
55131,1.03,9204.08,4417958400.0
29105,1.065,9516.84,4568083200.0
42085,1.085,9695.56,4653868800.0
55065,1.03,9204.08,4417958400.0
54077,1.01,9025.36,4332172800.0
69100,,,
55135,1.03,9204.08,4417958400.0
48137,0.95,8489.199999999999,4074815999.9999995
29153,1.065,9516.84,4568083200.0
19059,1.005,8980.679999999998,4310726399.999999
21095,1.01,9025.36,4332172800.0
20061,0.99,8846.64,4246387199.9999995
42011,1.085,9695.56,4653868800.0
27083,1.05,9382.800000000001,4503744000.000001
51037,1.0,8936.0,4289280000.0
47179,1.02,9114.72,4375065600.0
45071,1.02,9114.72,4375065600.0
51093,1.0,8936.0,4289280000.0
41069,1.09,9740.240000000002,4675315200.000001
51111,1.0,8936.0,4289280000.0
38097,1.01,9025.36,4332172800.0
13139,1.02,9114.72,4375065600.0
13283,1.02,9114.72,4375065600.0
13037,1.02,9114.72,4375065600.0
55125,1.03,9204.08,4417958400.0
13055,1.02,9114.72,4375065600.0
37103,0.99,8846.64,4246387199.9999995
29199,1.065,9516.84,4568083200.0
20131,0.99,8846.64,4246387199.9999995
20137,0.99,8846.64,4246387199.9999995
40093,0.97,8667.92,4160601600.0
53051,1.08,9650.880000000001,4632422400.000001
19197,1.005,8980.679999999998,4310726399.999999
48419,0.95,8489.199999999999,4074815999.9999995
29055,1.065,9516.84,4568083200.0
56033,0.99,8846.64,4246387199.9999995
42041,1.085,9695.56,4653868800.0
42055,1.085,9695.56,4653868800.0
42079,1.085,9695.56,4653868800.0
01113,0.99,8846.64,4246387199.9999995
39019,0.99,8846.64,4246387199.9999995
48191,0.95,8489.199999999999,4074815999.9999995
35057,1.03,9204.08,4417958400.0
48221,0.95,8489.199999999999,4074815999.9999995
29045,1.065,9516.84,4568083200.0
21015,1.01,9025.36,4332172800.0
21229,1.01,9025.36,4332172800.0
22009,1.02,9114.72,4375065600.0
29227,1.065,9516.84,4568083200.0
31163,0.99,8846.64,4246387199.9999995
46063,0.99,8846.64,4246387199.9999995
26057,1.035,9248.759999999998,4439404799.999999
19175,1.005,8980.679999999998,4310726399.999999
27043,1.05,9382.800000000001,4503744000.000001
48161,0.95,8489.199999999999,4074815999.9999995
42087,1.085,9695.56,4653868800.0
01041,0.99,8846.64,4246387199.9999995
51520,1.0,8936.0,4289280000.0
48399,0.95,8489.199999999999,4074815999.9999995
48443,0.95,8489.199999999999,4074815999.9999995
20153,0.99,8846.64,4246387199.9999995
20193,0.99,8846.64,4246387199.9999995
13161,1.02,9114.72,4375065600.0
19035,1.005,8980.679999999998,4310726399.999999
29053,1.065,9516.84,4568083200.0
17197,1.18,10544.48,5061350400.0
48117,0.95,8489.199999999999,4074815999.9999995
46011,0.99,8846.64,4246387199.9999995
19083,1.005,8980.679999999998,4310726399.999999
39027,0.99,8846.64,4246387199.9999995
39093,0.99,8846.64,4246387199.9999995
47101,1.02,9114.72,4375065600.0
51103,1.0,8936.0,4289280000.0
29013,1.065,9516.84,4568083200.0
33001,1.04,9293.44,4460851200.0
51159,1.0,8936.0,4289280000.0
29159,1.065,9516.84,4568083200.0
20019,0.99,8846.64,4246387199.9999995
48459,0.95,8489.199999999999,4074815999.9999995
51047,1.0,8936.0,4289280000.0
40061,0.97,8667.92,4160601600.0
54069,1.01,9025.36,4332172800.0
54065,1.01,9025.36,4332172800.0
51165,1.0,8936.0,4289280000.0
18183,1.01,9025.36,4332172800.0
04001,1.01,9025.36,4332172800.0
29121,1.065,9516.84,4568083200.0
48279,0.95,8489.199999999999,4074815999.9999995
20097,0.99,8846.64,4246387199.9999995
29061,1.065,9516.84,4568083200.0
26101,1.035,9248.759999999998,4439404799.999999
19119,1.005,8980.679999999998,4310726399.999999
48233,0.95,8489.199999999999,4074815999.9999995
40139,0.97,8667.92,4160601600.0
40153,0.97,8667.92,4160601600.0
19003,1.005,8980.679999999998,4310726399.999999
55109,1.03,9204.08,4417958400.0
42121,1.085,9695.56,4653868800.0
39153,0.99,8846.64,4246387199.9999995
48479,0.95,8489.199999999999,4074815999.9999995
37123,0.99,8846.64,4246387199.9999995
23003,1.02,9114.72,4375065600.0
28065,0.97,8667.92,4160601600.0
18175,1.01,9025.36,4332172800.0
31107,0.99,8846.64,4246387199.9999995
35061,1.03,9204.08,4417958400.0
30079,0.99,8846.64,4246387199.9999995
49031,1.02,9114.72,4375065600.0
21161,1.01,9025.36,4332172800.0
27009,1.05,9382.800000000001,4503744000.000001
48129,0.95,8489.199999999999,4074815999.9999995
01077,0.99,8846.64,4246387199.9999995
18045,1.01,9025.36,4332172800.0
17173,1.18,10544.48,5061350400.0
17051,1.18,10544.48,5061350400.0
39127,0.99,8846.64,4246387199.9999995
51590,1.0,8936.0,4289280000.0
13011,1.02,9114.72,4375065600.0
40109,0.97,8667.92,4160601600.0
40069,0.97,8667.92,4160601600.0
37099,0.99,8846.64,4246387199.9999995
29167,1.065,9516.84,4568083200.0
19191,1.005,8980.679999999998,4310726399.999999
45039,1.02,9114.72,4375065600.0
31033,0.99,8846.64,4246387199.9999995
27091,1.05,9382.800000000001,4503744000.000001
48263,0.95,8489.199999999999,4074815999.9999995
31069,0.99,8846.64,4246387199.9999995
17117,1.18,10544.48,5061350400.0
39141,0.99,8846.64,4246387199.9999995
48301,0.95,8489.199999999999,4074815999.9999995
40077,0.97,8667.92,4160601600.0
39167,0.99,8846.64,4246387199.9999995
29091,1.065,9516.84,4568083200.0
20047,0.99,8846.64,4246387199.9999995
21111,1.01,9025.36,4332172800.0
17107,1.18,10544.48,5061350400.0
47003,1.02,9114.72,4375065600.0
47027,1.02,9114.72,4375065600.0
17029,1.18,10544.48,5061350400.0
41001,1.09,9740.240000000002,4675315200.000001
36097,1.17,10455.119999999999,5018457599.999999
26159,1.035,9248.759999999998,4439404799.999999
17131,1.18,10544.48,5061350400.0
28099,0.97,8667.92,4160601600.0
01035,0.99,8846.64,4246387199.9999995
18029,1.01,9025.36,4332172800.0
28081,0.97,8667.92,4160601600.0
48125,0.95,8489.199999999999,4074815999.9999995
51115,1.0,8936.0,4289280000.0
48283,0.95,8489.199999999999,4074815999.9999995
36067,1.17,10455.119999999999,5018457599.999999
19087,1.005,8980.679999999998,4310726399.999999
31083,0.99,8846.64,4246387199.9999995
30075,0.99,8846.64,4246387199.9999995
55091,1.03,9204.08,4417958400.0
01021,0.99,8846.64,4246387199.9999995
48219,0.95,8489.199999999999,4074815999.9999995
13009,1.02,9114.72,4375065600.0
37171,0.99,8846.64,4246387199.9999995
01031,0.99,8846.64,4246387199.9999995
39149,0.99,8846.64,4246387199.9999995
16027,1.02,9114.72,4375065600.0
55041,1.03,9204.08,4417958400.0
39151,0.99,8846.64,4246387199.9999995
48187,0.95,8489.199999999999,4074815999.9999995
54037,1.01,9025.36,4332172800.0
54055,1.01,9025.36,4332172800.0
28049,0.97,8667.92,4160601600.0
48281,0.95,8489.199999999999,4074815999.9999995
51107,1.0,8936.0,4289280000.0
29185,1.065,9516.84,4568083200.0
36025,1.17,10455.119999999999,5018457599.999999
29129,1.065,9516.84,4568083200.0
01051,0.99,8846.64,4246387199.9999995
39083,0.99,8846.64,4246387199.9999995
19017,1.005,8980.679999999998,4310726399.999999
48175,0.95,8489.199999999999,4074815999.9999995
37089,0.99,8846.64,4246387199.9999995
48393,0.95,8489.199999999999,4074815999.9999995
31049,0.99,8846.64,4246387199.9999995
36051,1.17,10455.119999999999,5018457599.999999
19141,1.005,8980.679999999998,4310726399.999999
28115,0.97,8667.92,4160601600.0
27105,1.05,9382.800000000001,4503744000.000001
27001,1.05,9382.800000000001,4503744000.000001
37145,0.99,8846.64,4246387199.9999995
20195,0.99,8846.64,4246387199.9999995
48133,0.95,8489.199999999999,4074815999.9999995
48123,0.95,8489.199999999999,4074815999.9999995
45081,1.02,9114.72,4375065600.0
29125,1.065,9516.84,4568083200.0
29109,1.065,9516.84,4568083200.0
51540,1.0,8936.0,4289280000.0
17011,1.18,10544.48,5061350400.0
37115,0.99,8846.64,4246387199.9999995
16053,1.02,9114.72,4375065600.0
48309,0.95,8489.199999999999,4074815999.9999995
19089,1.005,8980.679999999998,4310726399.999999
01013,0.99,8846.64,4246387199.9999995
46009,0.99,8846.64,4246387199.9999995
47059,1.02,9114.72,4375065600.0
51183,1.0,8936.0,4289280000.0
18141,1.01,9025.36,4332172800.0
19165,1.005,8980.679999999998,4310726399.999999
24013,1.02,9114.72,4375065600.0
19011,1.005,8980.679999999998,4310726399.999999
21159,1.01,9025.36,4332172800.0
27025,1.05,9382.800000000001,4503744000.000001
21189,1.01,9025.36,4332172800.0
42015,1.085,9695.56,4653868800.0
54029,1.01,9025.36,4332172800.0
29051,1.065,9516.84,4568083200.0
26021,1.035,9248.759999999998,4439404799.999999
42061,1.085,9695.56,4653868800.0
31045,0.99,8846.64,4246387199.9999995
51141,1.0,8936.0,4289280000.0
48325,0.95,8489.199999999999,4074815999.9999995
26105,1.035,9248.759999999998,4439404799.999999
46135,0.99,8846.64,4246387199.9999995
42039,1.085,9695.56,4653868800.0
46123,0.99,8846.64,4246387199.9999995
19077,1.005,8980.679999999998,4310726399.999999
19183,1.005,8980.679999999998,4310726399.999999
40051,0.97,8667.92,4160601600.0
54039,1.01,9025.36,4332172800.0
01009,0.99,8846.64,4246387199.9999995
45065,1.02,9114.72,4375065600.0
45087,1.02,9114.72,4375065600.0
27103,1.05,9382.800000000001,4503744000.000001
28161,0.97,8667.92,4160601600.0
04003,1.01,9025.36,4332172800.0
28023,0.97,8667.92,4160601600.0
19125,1.005,8980.679999999998,4310726399.999999
51600,1.0,8936.0,4289280000.0
40057,0.97,8667.92,4160601600.0
29039,1.065,9516.84,4568083200.0
13059,1.02,9114.72,4375065600.0
48275,0.95,8489.199999999999,4074815999.9999995
39037,0.99,8846.64,4246387199.9999995
46041,0.99,8846.64,4246387199.9999995
13077,1.02,9114.72,4375065600.0
13105,1.02,9114.72,4375065600.0
01005,0.99,8846.64,4246387199.9999995
37017,0.99,8846.64,4246387199.9999995
48111,0.95,8489.199999999999,4074815999.9999995
17167,1.18,10544.48,5061350400.0
40035,0.97,8667.92,4160601600.0
19161,1.005,8980.679999999998,4310726399.999999
17113,1.18,10544.48,5061350400.0
23001,1.02,9114.72,4375065600.0
16055,1.02,9114.72,4375065600.0
20147,0.99,8846.64,4246387199.9999995
31089,0.99,8846.64,4246387199.9999995
29101,1.065,9516.84,4568083200.0
55063,1.03,9204.08,4417958400.0
17009,1.18,10544.48,5061350400.0
27111,1.05,9382.800000000001,4503744000.000001
39077,0.99,8846.64,4246387199.9999995
13005,1.02,9114.72,4375065600.0
10001,1.07,9561.52,4589529600.0
39173,0.99,8846.64,4246387199.9999995
13157,1.02,9114.72,4375065600.0
20003,0.99,8846.64,4246387199.9999995
17095,1.18,10544.48,5061350400.0
30107,0.99,8846.64,4246387199.9999995
45031,1.02,9114.72,4375065600.0
01053,0.99,8846.64,4246387199.9999995
13143,1.02,9114.72,4375065600.0
20001,0.99,8846.64,4246387199.9999995
55049,1.03,9204.08,4417958400.0
27097,1.05,9382.800000000001,4503744000.000001
42003,1.085,9695.56,4653868800.0
29205,1.065,9516.84,4568083200.0
39097,0.99,8846.64,4246387199.9999995
20201,0.99,8846.64,4246387199.9999995
17019,1.18,10544.48,5061350400.0
16087,1.02,9114.72,4375065600.0
17045,1.18,10544.48,5061350400.0
08121,0.98,8757.28,4203494400.0000005
39065,0.99,8846.64,4246387199.9999995
48423,0.95,8489.199999999999,4074815999.9999995
40143,0.97,8667.92,4160601600.0
40091,0.97,8667.92,4160601600.0
48171,0.95,8489.199999999999,4074815999.9999995
26125,1.035,9248.759999999998,4439404799.999999
01071,0.99,8846.64,4246387199.9999995
19123,1.005,8980.679999999998,4310726399.999999
20045,0.99,8846.64,4246387199.9999995
21197,1.01,9025.36,4332172800.0
29097,1.065,9516.84,4568083200.0
41061,1.09,9740.240000000002,4675315200.000001
13151,1.02,9114.72,4375065600.0
47175,1.02,9114.72,4375065600.0
40125,0.97,8667.92,4160601600.0
13003,1.02,9114.72,4375065600.0
48145,0.95,8489.199999999999,4074815999.9999995
20033,0.99,8846.64,4246387199.9999995
21113,1.01,9025.36,4332172800.0
21171,1.01,9025.36,4332172800.0
48031,0.95,8489.199999999999,4074815999.9999995
21121,1.01,9025.36,4332172800.0
26067,1.035,9248.759999999998,4439404799.999999
51003,1.0,8936.0,4289280000.0
47147,1.02,9114.72,4375065600.0
51043,1.0,8936.0,4289280000.0
53023,1.08,9650.880000000001,4632422400.000001
21109,1.01,9025.36,4332172800.0
45073,1.02,9114.72,4375065600.0
24037,1.02,9114.72,4375065600.0
21127,1.01,9025.36,4332172800.0
21175,1.01,9025.36,4332172800.0
21177,1.01,9025.36,4332172800.0
17049,1.18,10544.48,5061350400.0
18157,1.01,9025.36,4332172800.0
42109,1.085,9695.56,4653868800.0
48277,0.95,8489.199999999999,4074815999.9999995
31057,0.99,8846.64,4246387199.9999995
48289,0.95,8489.199999999999,4074815999.9999995
38035,1.01,9025.36,4332172800.0
18091,1.01,9025.36,4332172800.0
18057,1.01,9025.36,4332172800.0
51595,1.0,8936.0,4289280000.0
40081,0.97,8667.92,4160601600.0
20071,0.99,8846.64,4246387199.9999995
13145,1.02,9114.72,4375065600.0
13251,1.02,9114.72,4375065600.0
48433,0.95,8489.199999999999,4074815999.9999995
39069,0.99,8846.64,4246387199.9999995
33009,1.04,9293.44,4460851200.0
29145,1.065,9516.84,4568083200.0
48311,0.95,8489.199999999999,4074815999.9999995
17035,1.18,10544.48,5061350400.0
13297,1.02,9114.72,4375065600.0
51009,1.0,8936.0,4289280000.0
17033,1.18,10544.48,5061350400.0
27115,1.05,9382.800000000001,4503744000.000001
48021,0.95,8489.199999999999,4074815999.9999995
53039,1.08,9650.880000000001,4632422400.000001
55009,1.03,9204.08,4417958400.0
20205,0.99,8846.64,4246387199.9999995
13155,1.02,9114.72,4375065600.0
26011,1.035,9248.759999999998,4439404799.999999
19111,1.005,8980.679999999998,4310726399.999999
20141,0.99,8846.64,4246387199.9999995
26047,1.035,9248.759999999998,4439404799.999999
19071,1.005,8980.679999999998,4310726399.999999
23015,1.02,9114.72,4375065600.0
21023,1.01,9025.36,4332172800.0
54087,1.01,9025.36,4332172800.0
27159,1.05,9382.800000000001,4503744000.000001
37007,0.99,8846.64,4246387199.9999995
38007,1.01,9025.36,4332172800.0
31003,0.99,8846.64,4246387199.9999995
29073,1.065,9516.84,4568083200.0
37035,0.99,8846.64,4246387199.9999995
21025,1.01,9025.36,4332172800.0
48075,0.95,8489.199999999999,4074815999.9999995
17179,1.18,10544.48,5061350400.0
