,GEOID,NAMELSAD
2561,54105,Wirt County
2562,33003,Carroll County
2563,54095,Tyler County
2564,26081,Kent County
2565,37147,Pitt County
2566,30009,Carbon County
2567,31167,Stanton County
2568,13001,Appling County
2569,25007,Dukes County
2570,38049,McHenry County
2571,31179,Wayne County
2572,38045,LaMoure County
2573,16023,Butte County
2574,33007,Coos County
2575,38043,Kidder County
2576,48273,Kleberg County
2577,18127,Porter County
2578,26009,Antrim County
2579,45069,Marlboro County
2580,16009,Benewah County
2581,17103,Lee County
2582,31127,Nemaha County
2583,37031,Carteret County
2584,20149,Pottawatomie County
2585,26075,Jackson County
2586,48091,Comal County
2587,25019,Nantucket County
2588,45009,Bamberg County
2589,48007,Aransas County
2590,13019,Berrien County
2591,18165,Vermillion County
2592,51019,Bedford County
2593,35033,Mora County
2594,31011,Boone County
2595,29149,Oregon County
2596,47083,Houston County
2597,42131,Wyoming County
2598,37107,Lenoir County
2599,16059,Lemhi County
2600,21183,Ohio County
2601,31153,Sarpy County
2602,13071,Colquitt County
2603,46117,Stanley County
2604,32031,Washoe County
2605,47073,Hawkins County
2606,38011,Bowman County
2607,42057,Fulton County
2608,22055,Lafayette Parish
2609,48237,Jack County
2610,17175,Stark County
2611,40055,Greer County
2612,48211,Hemphill County
2613,16069,Nez Perce County
2614,46129,Walworth County
2615,06055,Napa County
2616,40033,Cotton County
2617,29221,Washington County
2618,36011,Cayuga County
2619,48417,Shackelford County
2620,48407,San Jacinto County
2621,13179,Liberty County
2622,48349,Navarro County
2623,48047,Brooks County
2624,47187,Williamson County
2625,56021,Laramie County
2626,53003,Asotin County
2627,27155,Traverse County
2628,17017,Cass County
2629,13247,Rockdale County
2630,42067,Juniata County
2631,42083,McKean County
2632,40049,Garvin County
2633,31021,Burt County
2634,35045,San Juan County
2635,36073,Orleans County
2636,22031,De Soto Parish
2637,06019,Fresno County
2638,19095,Iowa County
2639,31019,Buffalo County
2640,40007,Beaver County
2641,19023,Butler County
2642,30085,Roosevelt County
2643,72017,Barceloneta Municipio
2644,51670,Hopewell city
2645,17201,Winnebago County
2646,04007,Gila County
2647,24045,Wicomico County
2648,21043,Carter County
2649,37097,Iredell County
2650,51083,Halifax County
2651,37091,Hertford County
2652,36057,Montgomery County
2653,13123,Gilmer County
2654,27135,Roseau County
2655,28089,Madison County
2656,48227,Howard County
2657,54099,Wayne County
2658,12049,Hardee County
2659,39025,Clermont County
2660,48501,Yoakum County
2661,41071,Yamhill County
2662,19115,Louisa County
2663,20049,Elk County
2664,39121,Noble County
2665,39137,Putnam County
2666,48425,Somervell County
2667,42075,Lebanon County
2668,30035,Glacier County
2669,32027,Pershing County
2670,27087,Mahnomen County
2671,34031,Passaic County
2672,30047,Lake County
2673,48261,Kenedy County
2674,48033,Borden County
2675,29157,Perry County
2676,48411,San Saba County
2677,40073,Kingfisher County
2678,48051,Burleson County
2679,36035,Fulton County
2680,28133,Sunflower County
2681,48247,Jim Hogg County
2682,08017,Cheyenne County
2683,41005,Clackamas County
2684,05113,Polk County
2685,13193,Macon County
2686,18007,Benton County
2687,47129,Morgan County
2688,46043,Douglas County
2689,24047,Worcester County
2690,17185,Wabash County
2691,18069,Huntington County
2692,21209,Scott County
2693,19053,Decatur County
2694,18169,Wabash County
2695,18003,Allen County
2696,18099,Marshall County
2697,31171,Thomas County
2698,42077,Lehigh County
2699,31159,Seward County
2700,36015,Chemung County
2701,36121,Wyoming County
2702,06099,Stanislaus County
2703,42095,Northampton County
2704,01103,Morgan County
2705,21027,Breckinridge County
2706,31113,Logan County
2707,31121,Merrick County
2708,31161,Sheridan County
2709,21039,Carlisle County
2710,56025,Natrona County
2711,13321,Worth County
2712,18109,Morgan County
2713,48139,Ellis County
2714,13229,Pierce County
2715,60010,Eastern District
2716,18053,Grant County
2717,12035,Flagler County
2718,28077,Lawrence County
2719,22127,Winn Parish
2720,17073,Henry County
2721,55087,Outagamie County
2722,29107,Lafayette County
2723,37195,Wilson County
2724,39117,Morrow County
2725,30039,Granite County
2726,38031,Foster County
2727,05033,Crawford County
2728,48053,Burnet County
2729,29186,Ste. Genevieve County
2730,48179,Gray County
2731,17109,McDonough County
2732,19137,Montgomery County
2733,05067,Jackson County
2734,48229,Hudspeth County
2735,28101,Newton County
2736,37163,Sampson County
2737,47127,Moore County
2738,12103,Pinellas County
2739,72019,Barranquitas Municipio
2740,17065,Hamilton County
2741,05105,Perry County
2742,20023,Cheyenne County
2743,08029,Delta County
2744,19185,Wayne County
2745,48165,Gaines County
2746,01093,Marion County
2747,37189,Watauga County
2748,51770,Roanoke city
2749,48317,Martin County
2750,48037,Bowie County
2751,49057,Weber County
2752,29127,Marion County
2753,36045,Jefferson County
2754,18097,Marion County
2755,05017,Chicot County
2756,13021,Bibb County
2757,72059,Guayanilla Municipio
2758,72131,San Sebastián Municipio
2759,05115,Pope County
2760,51175,Southampton County
2761,48183,Gregg County
2762,36087,Rockland County
2763,05089,Marion County
2764,51800,Suffolk city
2765,08041,El Paso County
2766,29187,St. Francois County
2767,48475,Ward County
2768,08061,Kiowa County
2769,48487,Wilbarger County
2770,41015,Curry County
2771,08119,Teller County
2772,29049,Clinton County
2773,53045,Mason County
2774,37127,Nash County
2775,51199,York County
2776,16047,Gooding County
2777,47167,Tipton County
2778,22121,West Baton Rouge Parish
2779,29171,Putnam County
2780,56039,Teton County
2781,55043,Grant County
2782,38059,Morton County
2783,37041,Chowan County
2784,37021,Buncombe County
2785,06063,Plumas County
2786,51730,Petersburg city
2787,13175,Laurens County
