geo_id,county_name,total_energy_consumption_mwh,,,
42121,Venango County,"561,322",,,
39153,Summit County,"7,123,346",,,
13127,Glynn County,"1,166,262",,,
48479,Webb County,"4,498,656",,,
37123,Montgomery County,"336,231",,,
23003,Aroostook County,"544,551",,,
28065,Jefferson Davis County,"192,432",,,
18175,Washington County,"415,246",,,
46051,Grant County,"113,340",,,
46091,Marshall County,"65,647",,,
53067,Thurston County,"3,482,371",,,
31107,Knox County,"154,700",,,
35061,Valencia County,"1,149,057",,,
30079,Prairie County,"16,933",,,
49031,Piute County,"18,656",,,
21161,Mason County,"283,573",,,
27009,Benton County,"471,419",,,
48129,Donley County,"54,868",,,
12005,Bay County,"2,149,341",,,
1077,Lauderdale County,"1,672,892",,,
18045,Fountain County,"243,324",,,
17173,Shelby County,"225,284",,,
17051,Fayette County,"229,053",,,
39127,Perry County,"471,082",,,
51590,Danville city,"682,624",,,
13011,Banks County,"247,580",,,
13305,Wayne County,"412,857",,,
40109,Oklahoma County,"14,880,479",,,
40069,Johnston County,"193,682",,,
37099,Jackson County,"558,195",,,
49043,Summit County,"434,739",,,
29167,Polk County,"404,663",,,
32015,Lander County,"73,646",,,
19191,Winneshiek County,"352,520",,,
20125,Montgomery County,"450,827",,,
45039,Fairfield County,"341,371",,,
31033,Cheyenne County,"175,629",,,
27091,Martin County,"230,277",,,
47155,Sevier County,"1,467,507",,,
47139,Polk County,"259,992",,,
48263,Kent County,"10,617",,,
30099,Teton County,"85,187",,,
31069,Garden County,"31,659",,,
17117,Macoupin County,"480,719",,,
39141,Ross County,"1,018,305",,,
17195,Whiteside County,"595,490",,,
48141,El Paso County,"14,595,063",,,
48301,Loving County,"1,394",,,
40077,Latimer County,"177,162",,,
39167,Washington County,"796,794",,,
29091,Howell County,"510,021",,,
20047,Edwards County,"41,427",,,
21111,Jefferson County,"12,823,187",,,
17107,Logan County,"300,641",,,
55139,Winnebago County,"2,011,385",,,
47003,Bedford County,"739,094",,,
47027,Clay County,"112,422",,,
17029,Coles County,"506,164",,,
47097,Lauderdale County,"377,405",,,
41001,Baker County,"232,393",,,
36097,Schuyler County,"130,271",,,
26159,Van Buren County,"744,893",,,
17131,Mercer County,"167,994",,,
28099,Neshoba County,"493,313",,,
46045,Edmunds County,"60,123",,,
72119,Río Grande Municipio,"259,187",,,
1035,Conecuh County,"205,504",,,
18029,Dearborn County,"748,168",,,
18071,Jackson County,"680,810",,,
28081,Lee County,"1,403,793",,,
22125,West Feliciana Parish,"336,846",,,
5035,Crittenden County,"814,422",,,
12063,Jackson County,"558,041",,,
48125,Dickens County,"26,359",,,
51115,Mathews County,"137,115",,,
