geo_id,county_name,named_wetlands,wetland_count
19057,Des Moines County,"[""O'connell Island"", 'Rush Island', 'Fetter Island', 'Baby Rush Island']",36
19059,Dickinson County,['McClelland Slough'],331
19063,Emmet County,[],130
19071,Fremont County,[],3
19081,Hancock County,[],93
19089,Howard County,[],1
19109,Kossuth County,['Dismal Swamp'],81
19111,Lee County,[],16
19117,Lucas County,[],2
19119,Lyon County,[],1
19129,Mills County,[],12
19143,Osceola County,[],21
19147,Palo Alto County,[],125
19167,Sioux County,[],2
19175,Union County,[],1
19179,Wapello County,[],16
19189,Winnebago County,[],63
19191,Winneshiek County,[],2
20023,Cheyenne County,[],11
20027,Clay County,[],12
20029,Cloud County,[],4
20039,Decatur County,[],1
20055,Finney County,[],1
20075,Hamilton County,[],4
20087,Jefferson County,"['Sunset Ridge Marsh', 'Rucker Marsh', 'Island Marsh', 'Lower Ferguson Marsh']",9
20089,Jewell County,[],10
20101,Lane County,[],2
