countyCode,state,total_claims,total_building_damage,total_content_damage
25005,MA,1556,11347410.29,2350864.83
25007,MA,160,1465777.68,280374.91
25009,MA,5454,81472868.8,12542427.05
25011,MA,114,3338160.27,95255.07
25013,MA,278,2176754.47,514493.13
25015,MA,215,1784252.33,216660.83
25017,MA,3749,29557882.33,6859546.75
25019,MA,601,16161373.0,1399508.27
25021,MA,3261,23032456.48,2807786.68
25023,MA,10956,133503890.65,19128434.12
25025,MA,4365,24106650.32,4837958.53
25027,MA,764,9851591.3,2731992.36
26001,MI,13,24641.1,0.0
26003,MI,7,51923.66,0.0
26005,MI,69,1173793.31,76309.27
26007,MI,15,29322.67,1924.26
26009,MI,5,2843.4,670.17
26011,MI,118,1703097.22,280611.34
26013,MI,6,14324.6,0.0
26015,MI,278,2704008.35,266409.98
26017,MI,515,2171868.42,318352.71
26019,MI,11,86663.79,0.0
26021,MI,309,3664008.71,764598.03
26023,MI,32,540827.07,49651.96
26025,MI,60,202489.15,24139.24
26027,MI,15,103915.76,8429.7
26029,MI,7,105400.06,24693.36
26031,MI,4,759.51,0.0
26033,MI,5,122642.88,0.0
26035,MI,8,26830.09,0.0
26037,MI,28,425417.1,34948.48
26041,MI,27,164945.65,57672.69
26043,MI,6,14756.0,0.0
26045,MI,148,586507.08,116252.14
26047,MI,5,13134.92,415.5
26049,MI,453,2357572.13,753249.74
26051,MI,31,1504668.29,233098.68
26053,MI,10,36832.09,1510.62
26055,MI,47,305078.84,74007.48
26057,MI,32,91028.43,49721.62
26059,MI,12,141497.89,8592.72
26061,MI,6,92379.35,24707.07
26063,MI,49,211471.08,16836.38
26065,MI,390,1973300.5,394404.17
26067,MI,37,273021.44,19046.59
26069,MI,74,716796.4,58103.36
26071,MI,3,0.0,0.0
26073,MI,37,410721.88,132021.9
26075,MI,41,187212.68,29108.17
26077,MI,290,4006541.23,1135594.49
26081,MI,657,8409485.32,1811752.79
26085,MI,46,935688.84,251404.79
26087,MI,27,149899.95,23681.16
26089,MI,19,116106.57,6029.12
26091,MI,60,308917.95,36109.5
26093,MI,127,938382.9,32504.11
26095,MI,1,5510.94,0.0
26097,MI,6,8897.56,0.0
26099,MI,1435,8040577.04,831428.25
26101,MI,28,243357.75,10028.26
26103,MI,20,230238.56,3187.48
26105,MI,13,207055.29,30654.47
26107,MI,57,1072671.7,257392.5
26109,MI,43,189870.17,4932.04
26111,MI,546,24636529.19,3171218.56
26115,MI,1672,8320326.44,1537186.26
26117,MI,6,21173.71,5000.0
26121,MI,128,776729.27,65019.24
26123,MI,124,2264623.45,538402.85
